code,report_year,roe,roe_diluted,eps,bvps,net_profit,net_profit_yoy,revenue_yoy,ocfps,gross_margin,asset_liability_ratio,roe_std_3y,prev_eps,prev_revenue_yoy
000880,2024,9.22,8.98,0.56,6.22,185000000.0,11.1,6.37,1.28,4.62,67.19,0.5052392172690744,0.5,8.9
000913,2024,14.62,14.12,1.2946,9.1,677000000.0,45.84,18.3,2.15,11.14,53.34,1.3965990437089983,0.8806,-9.75
000915,2024,17.56,17.71,2.2,12.43,516000000.0,-11.9,-14.08,3.97,47.13,10.52,1.9582361678022622,2.5,6.11
000921,2024,23.27,21.66,2.46,11.15,3347999999.9999995,17.99,8.35,3.7,5.53,72.2,4.638685158533612,2.08,15.5
000923,2024,6.04,5.88,0.8674,14.75,566000000.0,-37.95,-4.86,1.73,12.8,22.35,1.6559589366889504,1.3979,16.1
000933,2024,20.77,19.86,1.93,9.64,4307000000.0,-27.07,1.99,3.43,12.5,48.57,15.228322297613746,2.65,-11.89
000951,2024,9.85,9.66,1.27,13.04,1480000000.0,36.96,6.8,4.49,4.16,60.27,3.503636206381403,0.92,45.96
000990,2024,1.3,1.29,0.1897,14.67,231000000.0,29.98,-10.88,1.13,3.03,30.82,0.4179579989531112,0.146,5.98
001218,2024,4.98,4.95,0.8296,16.94,109000000.00000001,-19.6,12.31,2.0,2.99,22.99,0.6246599074696564,1.0772,6.72
001872,2024,7.51,7.34,1.81,24.59,4516000000.0,26.44,2.41,3.2,55.04,36.4,0.5540356988097028,1.43,-2.96
001965,2024,7.94,7.47,0.7681,9.66,5322000000.0,-21.35,30.62,1.04,46.7,44.22,1.517651694779361,1.0553,17.29
002004,2024,-1.85,-3.2,-0.1514,4.73,-299000000.0,-198.96,0.6,0.82,-2.94,47.46,2.629389451733784,0.1526,-12.38
002006,2024,10.08,6.32,0.32,4.48,147000000.0,-18.53,12.25,0.28,8.5,43.85,6.0974111081853595,0.4,-34.66
002027,2024,29.91,30.28,0.357,1.18,5155000000.0,6.8,3.01,0.46,41.36,24.03,6.78960152651751,0.3342,26.3
